date,total,once,twice,facilities
　2021/02/17,125,125,0,8
　2021/02/18,486,486,0,16
　2021/02/19,4428,4428,0,68
　2021/02/22,6895,6895,0,95
　2021/02/24,5954,5954,0,96
　2021/02/25,4008,4008,0,100
　2021/02/26,6634,6634,0,100
　2021/03/01,3255,3255,0,100
　2021/03/02,2987,2987,0,100
　2021/03/03,2531,2531,0,101
　2021/03/04,1871,1871,0,108
　2021/03/05,7295,7295,0,149
　2021/03/08,24327,24327,0,288
　2021/03/09,36762,36762,0,445
　2021/03/10,41392,41357,35,563
　2021/03/11,32234,31826,408,642
　2021/03/12,49358,46453,2905,767
　2021/03/15,59733,55204,4529,1043
　2021/03/16,68916,67446,1470,1304
　2021/03/17,78294,73352,4942,1505
　2021/03/18,71217,67217,4000,1633
　2021/03/19,70133,63041,7092,1746
　2021/03/22,73863,70115,3748,1869
　2021/03/23,46428,43801,2627,1963
　2021/03/24,42054,38731,3323,2043
　2021/03/25,33942,31571,2371,2092
　2021/03/26,47747,43993,3754,2145
