date,total,once,twice,facilities
2/17/21,125,125,0,8
2/18/21,486,486,0,16
2/19/21,4428,4428,0,68
2/22/21,6895,6895,0,95
2/24/21,5954,5954,0,96
2/25/21,4008,4008,0,100
2/26/21,6634,6634,0,100
3/1/21,3255,3255,0,100
3/2/21,2987,2987,0,100
3/3/21,2531,2531,0,101
3/4/21,1871,1871,0,108
3/5/21,7295,7295,0,149
3/8/21,24327,24327,0,288
3/9/21,36762,36762,0,445
3/10/21,41392,41357,35,563
3/11/21,32234,31826,408,642
3/12/21,49358,46453,2905,767
3/15/21,59733,55204,4529,1043
3/16/21,68916,67446,1470,1304
3/17/21,78294,73352,4942,1505
3/18/21,71217,67217,4000,1633
3/19/21,70133,63041,7092,1746
3/22/21,73863,70115,3748,1869
3/23/21,46428,43801,2627,1963
3/24/21,42054,38731,3323,2043
3/25/21,33942,31571,2371,2092
3/26/21,47747,43993,3754,2145
3/29/21,67793,44039,23754,2250
3/30/21,59069,27242,31827,2356
3/31/21,53008,24213,28795,2467
4/1/21,47373,16156,31217,2516
4/2/21,46586,20026,26560,2567
4/5/21,100186,43297,56889,2764
4/6/21,91682,39420,52262,2934
4/7/21,104542,40371,64171,3092
4/8/21,94498,29956,64542,3179
4/9/21,104911,35313,69598,3255