Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Wakayama,Yamagata,Yamaguchi,Yamanashi,Japan
gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp,gdp
pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos,pos
credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all,credit_all
credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service,credit_service
departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper,departsuper
conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni,conveni
kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden,kaden
drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore,drugstore
TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall,TDBall
newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar,newcar
,,,,,,,,,,,,,,,,,,,,,,,,,,cpi,,,,,,,,,,,,,,,,,,,,,